"","Interval","TileID","TotalSittingCapacity","TotalStandingCapacity","TotalCapacity"
"213",1970-01-01 01:00:00,"88a8a06739fffff",60,103,163
"214",1970-01-01 01:00:00,"88a8a0676bfffff",60,103,163
"215",1970-01-01 01:00:00,"88a8a06a91fffff",159,349,508
"216",1970-01-01 01:00:00,"88a8a06a9bfffff",201,546,747
"217",1970-01-01 01:00:00,"88a8a06e49fffff",111,253,364
"218",1970-01-01 01:00:00,"88a8a06e4dfffff",111,253,364
"219",1970-01-01 01:00:00,"88a8a06e6dfffff",111,253,364
"220",1970-01-01 01:00:00,"88a8a07441fffff",180,309,489
"221",1970-01-01 01:00:00,"88a8a07445fffff",120,206,326
"222",1970-01-01 01:00:00,"88a8a07447fffff",120,206,326
"223",1970-01-01 01:00:00,"88a8a0744bfffff",180,309,489
"224",1970-01-01 01:00:00,"88a8a07461fffff",180,309,489
"225",1970-01-01 01:00:00,"88a8a07465fffff",180,309,489
"226",1970-01-01 01:00:00,"88a8a07467fffff",0,0,0
"227",1970-01-01 01:00:00,"88a8a07469fffff",0,0,0
"228",1970-01-01 01:00:00,"88a8a0746bfffff",120,206,326
"229",1970-01-01 01:00:00,"88a8a07503fffff",0,0,0
"230",1970-01-01 01:00:00,"88a8a07507fffff",180,309,489
"231",1970-01-01 01:00:00,"88a8a07515fffff",0,0,0
"232",1970-01-01 01:00:00,"88a8a0751dfffff",0,0,0
"233",1970-01-01 01:00:00,"88a8a07521fffff",228,405,633
"234",1970-01-01 01:00:00,"88a8a07525fffff",180,309,489
"235",1970-01-01 01:00:00,"88a8a0752bfffff",348,611,959
"236",1970-01-01 01:00:00,"88a8a0752dfffff",300,515,815
"237",1970-01-01 01:00:00,"88a8a07531fffff",360,618,978
"238",1970-01-01 01:00:00,"88a8a07533fffff",0,0,0
"239",1970-01-01 01:00:00,"88a8a07535fffff",171,356,527
"240",1970-01-01 01:00:00,"88a8a07537fffff",0,0,0
"241",1970-01-01 01:00:00,"88a8a07539fffff",120,206,326
"242",1970-01-01 01:00:00,"88a8a0753dfffff",159,349,508
"243",1970-01-01 01:00:00,"88a8a07543fffff",180,309,489
"244",1970-01-01 01:00:00,"88a8a07545fffff",120,206,326
"245",1970-01-01 01:00:00,"88a8a07547fffff",180,309,489
"246",1970-01-01 01:00:00,"88a8a07553fffff",0,0,0
"247",1970-01-01 01:00:00,"88a8a07557fffff",0,0,0
"248",1970-01-01 01:00:00,"88a8a07559fffff",180,309,489
"249",1970-01-01 01:00:00,"88a8a0755bfffff",0,0,0
"250",1970-01-01 01:00:00,"88a8a0755dfffff",180,309,489
"251",1970-01-01 01:00:00,"88a8a07561fffff",228,405,633
"252",1970-01-01 01:00:00,"88a8a07567fffff",288,508,796
"253",1970-01-01 01:00:00,"88a8a07569fffff",180,309,489
"254",1970-01-01 01:00:00,"88a8a0756bfffff",60,103,163
"255",1970-01-01 01:00:00,"88a8a0756dfffff",351,665,1016
"256",1970-01-01 01:00:00,"88a8a07633fffff",120,206,326
"257",1970-01-01 01:00:00,"88a8a07637fffff",180,309,489
"258",1970-01-01 01:00:00,"88a8a076c7fffff",60,103,163
"259",1970-01-01 01:00:00,"88a8a076d1fffff",171,356,527
"260",1970-01-01 01:00:00,"88a8a076d3fffff",171,356,527
"261",1970-01-01 01:00:00,"88a8a076d5fffff",171,356,527
"262",1970-01-01 01:00:00,"88a8a076e9fffff",120,206,326
"263",1970-01-01 01:00:00,"88a8a076ebfffff",60,103,163
"264",1970-01-01 01:00:00,"88a8a076edfffff",120,206,326
"265",1970-01-01 01:30:00,"88a8a02801fffff",84,210,294
"266",1970-01-01 01:30:00,"88a8a02809fffff",84,210,294
"267",1970-01-01 01:30:00,"88a8a0280bfffff",51,150,201
"268",1970-01-01 01:30:00,"88a8a02853fffff",51,150,201
"269",1970-01-01 01:30:00,"88a8a02857fffff",51,150,201
"270",1970-01-01 01:30:00,"88a8a02a11fffff",60,103,163
"271",1970-01-01 01:30:00,"88a8a02a13fffff",60,103,163
"272",1970-01-01 01:30:00,"88a8a02a19fffff",60,103,163
"273",1970-01-01 01:30:00,"88a8a02a57fffff",60,103,163
"274",1970-01-01 01:30:00,"88a8a02a89fffff",120,206,326
"275",1970-01-01 01:30:00,"88a8a02a8bfffff",120,206,326
"276",1970-01-01 01:30:00,"88a8a02a9dfffff",120,206,326
"277",1970-01-01 01:30:00,"88a8a02aadfffff",51,150,201
"278",1970-01-01 01:30:00,"88a8a02ac5fffff",120,206,326
"279",1970-01-01 01:30:00,"88a8a02ac7fffff",120,206,326
"280",1970-01-01 01:30:00,"88a8a02ae3fffff",51,150,201
"281",1970-01-01 01:30:00,"88a8a02ae7fffff",51,150,201
"282",1970-01-01 01:30:00,"88a8a02aebfffff",51,150,201
"283",1970-01-01 01:30:00,"88a8a06085fffff",48,96,144
"284",1970-01-01 01:30:00,"88a8a0608dfffff",168,302,470
"285",1970-01-01 01:30:00,"88a8a060a3fffff",48,96,144
"286",1970-01-01 01:30:00,"88a8a060abfffff",48,96,144
"287",1970-01-01 01:30:00,"88a8a060c3fffff",108,199,307
"288",1970-01-01 01:30:00,"88a8a060c7fffff",108,199,307
"289",1970-01-01 01:30:00,"88a8a060cbfffff",120,206,326
"290",1970-01-01 01:30:00,"88a8a06193fffff",159,349,508
"291",1970-01-01 01:30:00,"88a8a06197fffff",51,150,201
"292",1970-01-01 01:30:00,"88a8a0619bfffff",51,150,201
"293",1970-01-01 01:30:00,"88a8a061a1fffff",99,246,345
"294",1970-01-01 01:30:00,"88a8a061a3fffff",99,246,345
"295",1970-01-01 01:30:00,"88a8a061a5fffff",150,396,546
"296",1970-01-01 01:30:00,"88a8a061b1fffff",48,96,144
"297",1970-01-01 01:30:00,"88a8a061b3fffff",99,246,345
"298",1970-01-01 01:30:00,"88a8a061b5fffff",99,246,345
"299",1970-01-01 01:30:00,"88a8a061b7fffff",51,150,201
"300",1970-01-01 01:30:00,"88a8a06281fffff",60,103,163
"301",1970-01-01 01:30:00,"88a8a06283fffff",120,206,326
"302",1970-01-01 01:30:00,"88a8a06287fffff",120,206,326
"303",1970-01-01 01:30:00,"88a8a06289fffff",120,206,326
"304",1970-01-01 01:30:00,"88a8a0628bfffff",60,103,163
"305",1970-01-01 01:30:00,"88a8a062b5fffff",120,206,326
"306",1970-01-01 01:30:00,"88a8a062bdfffff",180,309,489
"307",1970-01-01 01:30:00,"88a8a062c1fffff",60,103,163
"308",1970-01-01 01:30:00,"88a8a062c3fffff",120,206,326
"309",1970-01-01 01:30:00,"88a8a062cbfffff",120,206,326
"310",1970-01-01 01:30:00,"88a8a062d3fffff",0,0,0
"311",1970-01-01 01:30:00,"88a8a06541fffff",0,0,0
"312",1970-01-01 01:30:00,"88a8a06549fffff",0,0,0
"313",1970-01-01 01:30:00,"88a8a06707fffff",0,0,0
"314",1970-01-01 01:30:00,"88a8a0670dfffff",0,0,0
"315",1970-01-01 01:30:00,"88a8a0672bfffff",0,0,0
"316",1970-01-01 01:30:00,"88a8a06731fffff",0,0,0
"317",1970-01-01 01:30:00,"88a8a06735fffff",0,0,0
"318",1970-01-01 01:30:00,"88a8a06739fffff",0,0,0
"319",1970-01-01 01:30:00,"88a8a0676bfffff",0,0,0
"320",1970-01-01 01:30:00,"88a8a06a91fffff",102,300,402
"321",1970-01-01 01:30:00,"88a8a06a9bfffff",51,150,201
"322",1970-01-01 01:30:00,"88a8a06e45fffff",48,96,144
"323",1970-01-01 01:30:00,"88a8a06e49fffff",99,246,345
"324",1970-01-01 01:30:00,"88a8a06e4dfffff",99,246,345
"325",1970-01-01 01:30:00,"88a8a06e69fffff",99,246,345
"326",1970-01-01 01:30:00,"88a8a06e6dfffff",99,246,345
"327",1970-01-01 01:30:00,"88a8a07441fffff",111,253,364
"328",1970-01-01 01:30:00,"88a8a07445fffff",60,103,163
"329",1970-01-01 01:30:00,"88a8a07447fffff",171,356,527
"330",1970-01-01 01:30:00,"88a8a0744bfffff",60,103,163
"331",1970-01-01 01:30:00,"88a8a07461fffff",231,459,690
"332",1970-01-01 01:30:00,"88a8a07465fffff",111,253,364
"333",1970-01-01 01:30:00,"88a8a07467fffff",120,206,326
"334",1970-01-01 01:30:00,"88a8a07469fffff",60,103,163
"335",1970-01-01 01:30:00,"88a8a0746bfffff",171,356,527
